0.0.0.0/8 ,	"Esta" rede
10.0.0.0/8 ,	Redes de uso privado
100.64.0.0/10,	NAT de nível de operadora
127.0.0.0/8,	Retorno
127.0.53.53,	Ocorrência de colisão de nomes
169.254.0.0/16,	Link local
172.16.0.0/12,	Redes de uso privado
192.0.0.0/24,	Atribuições do protocolo IETF
192.0.2.0/24,	TESTE-NET-1
192.168.0.0/16,	Redes de uso privado
198.18.0.0/15,	Teste de benchmark de dispositivo de interconexão de rede
198.51.100.0/24,	TESTE-NET-2
203.0.113.0/24,	TESTE-NET-3
224.0.0.0/4,	Multicast
240.0.0.0/4,	Reservado para uso futuro
255.255.255.255/32,	Transmissão limitada
